,base_training_loss,base_validation_accuracy,diff_training_loss,diff_validation_accuracy
0,10.88594913482666,0.11660784482955933,10.927754402160645,0.11463137716054916
1,10.352703094482422,0.12472549825906754,10.246647834777832,0.12423922121524811
2,10.048826217651367,0.1258431375026703,10.276594161987305,0.12429412454366684
3,10.043441772460938,0.12572157382965088,10.102231979370117,0.12029412388801575
4,9.702502250671387,0.12501177191734314,9.774994850158691,0.11518824100494385
5,9.351153373718262,0.12895295023918152,9.434762954711914,0.11386275291442871
6,8.415722846984863,0.12927451729774475,9.118828773498535,0.11395686864852905
7,9.024678230285645,0.12975294888019562,9.09327220916748,0.11436471343040466
8,8.775094032287598,0.13074903190135956,8.914413452148438,0.11472157388925552
9,8.651700973510742,0.13041961193084717,8.734116554260254,0.1148509830236435
10,8.350691795349121,0.1308235377073288,8.498895645141602,0.11487843841314316
11,8.529740333557129,0.13075686991214752,8.486101150512695,0.11510196328163147
12,8.150063514709473,0.13127058744430542,8.224591255187988,0.11556471139192581
13,7.778318881988525,0.13227058947086334,8.235036849975586,0.1158117726445198
14,7.462967872619629,0.13273726403713226,8.199178695678711,0.11614510416984558
15,8.140301704406738,0.13567844033241272,8.07375717163086,0.11631765216588974
16,7.319593906402588,0.13753725588321686,7.860016822814941,0.11568628251552582
17,7.113545894622803,0.1343490183353424,7.487040996551514,0.11568235605955124
18,8.069967269897461,0.13429412245750427,7.621786594390869,0.11617647856473923
19,7.523531436920166,0.1363176554441452,7.777454376220703,0.13056470453739166
20,7.572867393493652,0.1377725601196289,7.832493305206299,0.13487452268600464
21,7.408716678619385,0.13848628103733063,7.906703472137451,0.13161569833755493
22,6.955835819244385,0.13876470923423767,6.585809707641602,0.13327844440937042
23,7.589271545410156,0.13938824832439423,7.83003044128418,0.14147059619426727
24,7.660166263580322,0.13824313879013062,7.204135417938232,0.1367921680212021
25,7.238400459289551,0.14182353019714355,7.7806196212768555,0.13642746210098267
26,7.2570061683654785,0.1428196132183075,7.931554794311523,0.1381254941225052
27,7.240378379821777,0.1427764743566513,7.552138328552246,0.13731765747070312
28,7.629073619842529,0.1385921686887741,7.775346755981445,0.14128628373146057
29,7.572864532470703,0.13916079699993134,7.10403299331665,0.13912157714366913
30,7.612248420715332,0.14377647638320923,5.799813747406006,0.14072157442569733
31,7.434539318084717,0.14514902234077454,7.05370569229126,0.14445491135120392
32,7.261735916137695,0.14258824288845062,7.01665735244751,0.1420784443616867
33,7.111041069030762,0.13954117894172668,7.71574592590332,0.14032156765460968
34,6.695915699005127,0.14452549815177917,7.342450141906738,0.1444588303565979
35,7.230255603790283,0.14560392498970032,6.944429397583008,0.13933725655078888
36,7.024494171142578,0.14443138241767883,7.3190531730651855,0.14061176776885986
37,6.998997211456299,0.14406275749206543,6.891643047332764,0.1431686282157898
38,7.635581016540527,0.14389412105083466,7.419113636016846,0.14284314215183258
39,7.507138252258301,0.14329804480075836,6.142658710479736,0.14198431372642517
40,7.0035295486450195,0.14251765608787537,7.228697776794434,0.14198431372642517
41,7.183815956115723,0.1418745219707489,7.372517108917236,0.14286275207996368
42,6.232917308807373,0.14159607887268066,7.252838134765625,0.14702746272087097
43,7.151400566101074,0.14192157983779907,6.75982141494751,0.1457725614309311
44,8.198127746582031,0.14274902641773224,7.597762107849121,0.14545491337776184
45,7.075839519500732,0.14410588145256042,6.852842807769775,0.14517255127429962
46,7.056304931640625,0.14540785551071167,7.4259185791015625,0.15015295147895813
47,7.028280735015869,0.14590196311473846,6.560987949371338,0.15034902095794678
48,6.672658920288086,0.14674901962280273,6.811440944671631,0.14924314618110657
